nh4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0519,0.0539,0.0447,0.0521,0.0549,0.0562,0.0544,0.0522,0.0517,0.0568,0.0539,0.06
B,0.0573,0.0614,0.0453,0.0532,0.057,0.0592,0.0576,0.0532,0.0564,0.0544,0.0571,0.0574
C,0.0688,0.065,0.0493,0.0527,0.0531,0.0519,0.0567,0.0543,0.0537,0.056,0.056,0.0576
D,0.0771,0.0686,0.0457,0.0589,0.058,0.0556,0.0569,0.0528,0.0576,0.0557,0.0582,0.0583
E,0.0737,0.0946,0.0456,0.0573,0.0555,0.0557,0.0589,0.0598,0.0557,0.0592,0.0609,0.0552
F,0.0993,0.1123,0.0457,0.0556,0.0566,0.0593,0.0456,0.0464,0.0457,0.0463,0.0461,0.0461
G,0.1733,0.1868,0.0455,0.0453,0.046,0.0456,0.0457,0.0466,0.0453,0.0463,0.0461,0.0459
H,0.2719,0.2927,0.0456,0.0449,0.0455,0.0463,0.0454,0.0446,0.0454,0.0456,0.0462,0.0453
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,37
E,,,,36,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,1,1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,10,10,,,,,,,,,,
H,20,20,,,,,,,,,,
