po4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0426,0.0521,0.0515,0.0433,0.0531,0.0534,0.0522,0.0539,0.0557,0.0533,0.0574,0.0528
B,0.0432,0.054,0.0547,0.0437,0.0619,0.0541,0.0544,0.0622,0.0614,0.0576,0.0619,0.0537
C,0.043,0.0577,0.059,0.0436,0.0554,0.0583,0.0538,0.0536,0.0529,0.0601,0.0531,0.0524
D,0.0433,0.0665,0.0698,0.0438,0.0541,0.054,0.0644,0.0601,0.059,0.0587,0.0614,0.0523
E,0.0433,0.1234,0.1199,0.0438,0.064,0.0536,0.0634,0.055,0.0619,0.0547,0.0527,0.0609
F,0.0433,0.2002,0.2223,0.044,0.0884,0.0537,0.0637,0.0637,0.0533,0.0532,0.0525,0.0588
G,0.0434,0.3598,0.2927,0.0437,0.044,0.0441,0.0435,0.0443,0.0436,0.0443,0.0432,0.0437
H,0.0424,0.878,0.8988,0.0426,0.0441,0.0438,0.0432,0.0422,0.0438,0.0439,0.043,0.0417
,,,,,,,,,,,,
po4_sam,,,,,,,,,,,,
A,,,,1,2,3,4,5,6,7,8,
B,,,,9,10,11,12,13,14,15,16,
C,,,,17,18,19,20,21,22,23,24,
D,,,,25,26,27,28,29,30,31,32,
E,,,,33,34,35,36,37,38,39,40,
F,,,,41,42,43,44,45,46,47,48,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
po4_stds,,,,,,,,,,,,
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,100,100,,,,,,,,,,
