nh4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.0446,0.0445,0.0522,0.0495,0.0506,0.0548,0.0521,0.0531,0.0498,0.0522,0.0538
B,0.0464,0.0535,0.0454,0.0536,0.0555,0.0522,0.0519,0.051,0.0519,0.0524,0.0547,0.0556
C,0.0535,0.0599,0.0455,0.0543,0.0517,0.0557,0.052,0.0522,0.0548,0.0529,0.053,0.0543
D,0.0578,0.0621,0.0455,0.0555,0.051,0.0502,0.0535,0.0534,0.0543,0.0549,0.0523,0.053
E,0.0808,0.0783,0.0457,0.0548,0.0524,0.0558,0.0511,0.0518,0.0502,0.0531,0.054,0.055
F,0.1108,0.1136,0.0458,0.0551,0.0526,0.0447,0.0456,0.046,0.0454,0.0459,0.0455,0.0461
G,0.1518,0.1497,0.0455,0.0482,0.0461,0.0458,0.0464,0.0462,0.0454,0.0465,0.046,0.046
H,0.3066,0.2455,0.0455,0.0455,0.0455,0.0452,0.0454,0.0442,0.0454,0.0457,0.0458,0.0451
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,36
E,,,,37,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,10,10,,,,,,,,,,
H,20,20,,,,,,,,,,
