no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0346,0.0379,0.0463,0.0388,0.0378,0.0465,0.0409,0.0413,0.0409,0.0455,0.0411,0.0393
B,0.0386,0.0386,0.0467,0.061,0.0424,0.0468,0.0425,0.042,0.0413,0.0431,0.0426,0.0412
C,0.0424,0.0435,0.047,0.0385,0.0386,0.0469,0.0404,0.04,0.0407,0.0413,0.0415,0.0411
D,0.0379,0.0388,0.048,0.0393,0.0386,0.0471,0.0413,0.0411,0.0419,0.0413,0.0407,0.0433
E,0.0569,0.0583,0.0471,0.0388,0.0385,0.0472,0.0405,0.0398,0.0418,0.0416,0.041,0.0415
F,0.2238,0.2137,0.0545,0.0388,0.0383,0.0467,0.0415,0.0419,0.0414,0.0413,0.0413,0.0418
G,0.4461,0.4517,0.0469,0.0386,0.0395,0.0473,0.0422,0.0422,0.0404,0.0409,0.0408,0.0405
H,0.8821,0.8705,0.047,0.038,0.0384,0.0468,0.0417,0.0401,0.0423,0.0435,0.0411,0.0411
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0761,0.0759,0.0462,0.0783,0.0769,0.0464,0.0857,0.0752,0.0721,0.1213,0.0778,0.0819
B,0.079,0.08,0.0465,0.1071,0.1047,0.0467,0.0761,0.0714,0.0745,0.0864,0.0741,0.076
C,0.0852,0.0865,0.0469,0.0947,0.0893,0.0466,0.0731,0.0745,0.0742,0.0797,0.0817,0.0776
D,0.1006,0.0965,0.0483,0.0918,0.0928,0.0474,0.0777,0.0729,0.0824,0.0716,0.0734,0.0836
E,0.1226,0.1168,0.0482,0.147,0.1442,0.0472,0.0725,0.0716,0.0808,0.0797,0.0744,0.0749
F,0.2639,0.2521,0.0492,0.2009,0.2136,0.0473,0.0848,0.0824,0.0731,0.078,0.0736,0.0774
G,0.49,0.49,0.047,0.3094,0.3037,0.0473,0.0799,0.0763,0.0725,0.0731,0.0772,0.0669
H,0.8652,0.8522,0.0469,0.5499,0.5431,0.0475,0.0738,0.0728,0.0858,0.0854,0.0747,0.0811
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,1,1,,,,,,,,,,
D,2.5,2.5,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,1,1,,,,,,,
D,,,,2.5,2.5,,,,,,,
E,,,,5,5,,,,,,,
F,,,,10,10,,,,,,,
G,,,,20,20,,,,,,,
H,,,,40,40,,,,,,,
