no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0379,0.0386,0.0458,0.038,0.0379,0.0463,0.0402,0.0413,0.0389,0.0419,0.0395,0.0391
B,0.0375,0.039,0.0467,0.0388,0.0388,0.0468,0.0408,0.0406,0.0404,0.041,0.0416,0.0414
C,0.0423,0.0438,0.0469,0.0386,0.0386,0.0468,0.0403,0.0401,0.0406,0.0414,0.042,0.0408
D,0.0382,0.0392,0.0471,0.0391,0.0946,0.0471,0.0409,0.0685,0.0418,0.0411,0.0401,0.0421
E,0.0623,0.0644,0.047,0.0388,0.0577,0.0471,0.0407,0.0402,0.0414,0.0416,0.0403,0.0407
F,0.2711,0.269,0.0473,0.0386,0.0385,0.0467,0.0413,0.0417,0.0669,0.0409,0.0409,0.0404
G,0.574,0.5654,0.0469,0.0388,0.0392,0.0473,0.042,0.0559,0.0401,0.041,0.0411,0.0407
H,1.1011,1.1118,0.047,0.0384,0.0385,0.0468,0.058,0.0403,0.0421,0.0422,0.0409,0.041
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.085,0.0851,0.0459,0.0708,0.0886,0.0464,0.0928,0.0745,0.0712,0.0943,0.0824,0.0872
B,0.0819,0.0825,0.0467,0.0754,0.0767,0.0467,0.0731,0.0782,0.0742,0.0842,0.0751,0.0813
C,0.0941,0.0987,0.0469,0.1011,0.1043,0.0468,0.0736,0.0705,0.0785,0.0793,0.0841,0.0759
D,0.1091,0.1129,0.0471,0.1012,0.6655,0.0567,0.0795,0.0728,0.0827,0.0775,0.073,0.0825
E,0.1335,0.1336,0.0469,0.1758,0.1389,0.0472,0.0728,0.074,0.0816,0.0849,0.073,0.0797
F,0.3172,0.3121,0.0472,0.2622,0.2416,0.0467,0.0845,0.0885,0.339,0.0803,0.0777,0.072
G,0.628,0.6128,0.0469,0.4184,0.4185,0.0474,0.0812,0.2145,0.0753,0.0814,0.0744,0.0743
H,1.037,1.0465,0.0469,0.7481,0.7458,0.0467,0.0797,0.0647,0.0904,0.0837,0.0758,0.0772
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,1,1,,,,,,,,,,
D,2.5,2.5,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,1,1,,,,,,,
D,,,,2.5,2.5,,,,,,,
E,,,,5,5,,,,,,,
F,,,,10,10,,,,,,,
G,,,,20,20,,,,,,,
H,,,,40,40,,,,,,,
