no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0371,0.0397,0.0465,0.0392,0.0385,0.0461,0.0399,0.0422,0.0405,0.042,0.0421,0.042
B,0.0375,0.0392,0.0465,0.0396,0.0639,0.0469,0.0437,0.0417,0.0423,0.0426,0.0436,0.0423
C,0.0371,0.0386,0.0466,0.0481,0.0382,0.0465,0.0422,0.042,0.0427,0.042,0.0416,0.0434
D,0.0439,0.0451,0.0466,0.0393,0.039,0.0467,0.0443,0.0427,0.0432,0.043,0.0417,0.0421
E,0.1057,0.1088,0.0466,0.0389,0.0385,0.0468,0.0419,0.0428,0.0438,0.0415,0.0413,0.0426
F,0.2739,0.2678,0.0467,0.0388,0.0387,0.0465,0.0435,0.042,0.0414,0.0419,0.0435,0.0421
G,0.542,0.5361,0.0466,0.0387,0.0388,0.0479,0.0422,0.0429,0.0425,0.0418,0.0432,0.043
H,1.0652,1.043,0.0468,0.0384,0.039,0.0467,0.042,0.0427,0.0425,0.0432,0.0409,0.0422
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0828,0.0851,0.0463,0.0865,0.0851,0.0461,0.1872,0.191,0.1929,0.1821,0.1971,0.2024
B,0.0848,0.0882,0.0466,0.0867,0.0855,0.0468,0.2006,0.2149,0.1845,0.1984,0.1801,0.211
C,0.0883,0.0926,0.0466,0.1199,0.1189,0.0465,0.2122,0.2111,0.2018,0.1993,0.1913,0.2155
D,0.1335,0.128,0.0465,0.2076,0.2027,0.0466,0.1999,0.2072,0.1946,0.1461,0.205,0.2087
E,0.1859,0.1891,0.0466,0.3315,0.3205,0.0467,0.1897,0.1363,0.2018,0.1976,0.2116,0.23
F,0.3248,0.3196,0.0468,0.4979,0.4983,0.0466,0.2118,0.2107,0.2078,0.1963,0.218,0.2026
G,0.5874,0.5974,0.0466,0.8967,0.8873,0.0465,0.2014,0.1898,0.2128,0.2051,0.205,0.2072
H,0.9937,0.9901,0.0467,0.1123,0.0927,0.0466,0.2157,0.285,0.2018,0.1705,0.211,0.2323
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.05,0.05,,,,,,,,,,
C,0.1,0.1,,,,,,,,,,
D,2.5,2.5,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,2.5,2.5,,,,,,,
D,,,,5,5,,,,,,,
E,,,,10,10,,,,,,,
F,,,,20,20,,,,,,,
G,,,,40,40,,,,,,,
H,,,,,,,,,,,,
