no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0401,0.0435,0.0462,0.0422,0.0426,0.0465,0.0552,0.0462,0.0661,0.0451,0.0537,0.0439
B,0.0404,0.0412,0.0476,0.039,0.0395,0.0468,0.0422,0.0416,0.0417,0.0422,0.0443,0.0407
C,0.0482,0.049,0.047,0.0386,0.04,0.0472,0.0427,0.0426,0.0426,0.0429,0.0423,0.0424
D,0.0583,0.0587,0.0471,0.0399,0.0395,0.0469,0.0415,0.0418,0.0417,0.0407,0.042,0.0429
E,0.0857,0.0862,0.047,0.0392,0.039,0.0467,0.0417,0.0426,0.0423,0.0418,0.0414,0.0418
F,0.138,0.1358,0.0478,0.0394,0.0401,0.0478,0.0427,0.0426,0.042,0.042,0.0428,0.0427
G,0.198,0.1985,0.0473,0.0389,0.0553,0.0467,0.0419,0.0411,0.0422,0.0427,0.0429,0.0425
H,0.2712,0.2652,0.0471,0.0395,0.0391,0.0467,0.0415,0.0409,0.0417,0.0413,0.0413,0.0423
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0834,0.084,0.0461,0.0778,0.0804,0.0479,0.1636,0.1689,0.3046,0.1424,0.1738,0.1067
B,0.0862,0.0889,0.0473,0.083,0.0863,0.1129,0.0822,0.1049,0.2543,0.1325,0.1922,0.0827
C,0.0912,0.0751,0.0469,0.1195,0.1317,0.0854,0.1061,0.11,0.0831,0.0994,0.0958,0.0834
D,0.3638,0.3806,0.047,0.1143,0.1364,0.0469,0.0803,0.0856,0.0783,0.0764,0.0768,0.084
E,0.1623,0.1306,0.0469,0.138,0.1416,0.0473,0.0937,0.1153,0.0923,0.0776,0.0765,0.0768
F,0.1812,0.1699,0.0475,0.1866,0.2035,0.0478,0.103,0.1013,0.0988,0.1033,0.1028,0.1012
G,0.2696,0.2434,0.0472,0.2532,0.2623,0.1171,0.0807,0.1193,0.0962,0.1059,0.1098,0.1039
H,0.3192,0.3223,0.0469,0.3012,0.3033,0.0469,0.0928,0.092,0.1959,0.0822,0.0875,0.0872
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,8,8,,,,,,,,,,
H,10,10,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,0.5,0.5,,,,,,,
D,,,,1,1,,,,,,,
E,,,,2.5,2.5,,,,,,,
F,,,,5,5,,,,,,,
G,,,,8,8,,,,,,,
H,,,,10,10,,,,,,,
