po4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0508,0.0529,0.0424,0.0433,0.0553,0.057,0.0522,0.0558,0.0594,0.053,0.0513,0.0524
B,0.0541,0.0542,0.0439,0.0438,0.0563,0.0598,0.0571,0.0531,0.0616,0.1231,0.0549,0.0593
C,0.0592,0.0567,0.0439,0.0438,0.0538,0.0539,0.0541,0.0543,0.0532,0.054,0.0551,0.0531
D,0.0823,0.0671,0.0438,0.0438,0.0602,0.0578,0.063,0.0539,0.054,0.0538,0.0591,0.0628
E,0.1337,0.1335,0.0438,0.0439,0.0554,0.054,0.0639,0.0622,0.0707,0.0536,0.0598,0.0593
F,0.2005,0.2259,0.0434,0.0438,0.0597,0.062,0.0566,0.0532,0.0615,0.0539,0.0521,0.0611
G,0.311,0.2824,0.0434,0.0437,0.0442,0.044,0.0434,0.0479,0.0435,0.0446,0.0432,0.044
H,0.7349,0.7469,0.0433,0.0425,0.0441,0.0438,0.0431,0.0421,0.0439,0.0437,0.043,0.0416
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,1,2,3,4,5,6,7,8
B,,,,,9,10,11,12,13,14,15,16
C,,,,,17,18,19,20,21,22,23,24
D,,,,,25,26,27,28,29,30,31,32
E,,,,,33,34,35,36,37,38,39,40
F,,,,,41,42,43,44,45,46,47,48
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,100,100,,,,,,,,,,
