nh4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0487,0.0518,0.0456,0.0561,0.0556,0.0513,0.0832,0.0554,0.0507,0.0511,0.0575,0.0543
B,0.0497,0.0496,0.0456,0.0536,0.0527,0.0537,0.0527,0.0679,0.0556,0.0529,0.0535,0.0516
C,0.0527,0.052,0.0454,0.0517,0.0531,0.0513,0.0526,0.0533,0.0524,0.0621,0.0521,0.0518
D,0.0806,0.0846,0.0454,0.0553,0.0659,0.0524,0.0554,0.0538,0.0516,0.0521,0.0527,0.0519
E,0.1041,0.1043,0.0456,0.0516,0.0527,0.0523,0.0629,0.0537,0.0515,0.0545,0.0597,0.0552
F,0.162,0.1547,0.0459,0.0943,0.061,0.0565,0.0463,0.0443,0.0463,0.0455,0.0458,0.0464
G,0.267,0.2731,0.0476,0.0478,0.046,0.0461,0.0465,0.0469,0.0456,0.0455,0.0455,0.0466
H,0.0455,0.0461,0.0455,0.0448,0.0454,0.0455,0.0456,0.0446,0.046,0.0461,0.0457,0.0461
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,36
E,,,,37,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,1,1,,,,,,,,,,
D,5,5,,,,,,,,,,
E,10,10,,,,,,,,,,
F,20,20,,,,,,,,,,
G,40,40,,,,,,,,,,
H,,,,,,,,,,,,
