po4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0902,0.0916,0.0425,0.1019,0.0893,0.1088,0.1053,0.0933,0.0927,0.0855,0.0904,0.0904
B,0.0841,0.0917,0.0442,0.0983,0.1115,0.0848,0.089,0.0887,0.0905,0.091,0.0932,0.0918
C,0.1078,0.0952,0.044,0.0914,0.0935,0.09,0.0942,0.087,0.0895,0.096,0.096,0.0864
D,0.0941,0.0923,0.0439,0.0915,0.0978,0.0853,0.092,0.0952,0.0902,0.0906,0.0903,0.0884
E,0.103,0.0932,0.0438,0.09,0.0869,0.0963,0.0935,0.0851,0.0905,0.0916,0.0859,0.0971
F,0.1303,0.1333,0.0438,0.0897,0.0869,0.0907,0.0438,0.044,0.0439,0.0441,0.0436,0.0438
G,0.1829,0.1684,0.0434,0.0437,0.0442,0.0444,0.0515,0.0443,0.0437,0.0445,0.0433,0.0437
H,0.2476,0.2695,0.0434,0.0426,0.044,0.044,0.0433,0.0423,0.0437,0.0439,0.0432,0.0424
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,36
E,,,,37,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.05,0.05,,,,,,,,,,
C,0.1,0.1,,,,,,,,,,
D,0.5,0.5,,,,,,,,,,
E,1,1,,,,,,,,,,
F,5,5,,,,,,,,,,
G,10,10,,,,,,,,,,
H,20,20,,,,,,,,,,
