no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0371,0.0397,0.0465,0.0392,0.0385,0.0461,0.0399,0.0422,0.0405,0.042,0.0421,0.042
B,0.0375,0.0392,0.0465,0.0396,0.0639,0.0469,0.0437,0.0417,0.0423,0.0426,0.0436,0.0423
C,0.0371,0.0386,0.0466,0.0481,0.0382,0.0465,0.0422,0.042,0.0427,0.042,0.0416,0.0434
D,0.0439,0.0451,0.0466,0.0393,0.039,0.0467,0.0443,0.0427,0.0432,0.043,0.0417,0.0421
E,0.1057,0.1088,0.0466,0.0389,0.0385,0.0468,0.0419,0.0428,0.0438,0.0415,0.0413,0.0426
F,0.2739,0.2678,0.0467,0.0388,0.0387,0.0465,0.0435,0.042,0.0414,0.0419,0.0435,0.0421
G,0.542,0.5361,0.0466,0.0387,0.0388,0.0479,0.0422,0.0429,0.0425,0.0418,0.0432,0.043
H,1.0652,1.043,0.0468,0.0384,0.039,0.0467,0.042,0.0427,0.0425,0.0432,0.0409,0.0422
,,,,,,,,,,,,
no2_ps,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,0,0,,1,2,3,4,5,6
B,0.05,0.05,,0.1,0.1,,7,8,9,10,11,12
C,0.1,0.1,,2.5,2.5,,13,14,15,16,17,18
D,2.5,2.5,,5,5,,19,20,21,22,23,24
E,5,5,,10,10,,25,26,27,28,29,30
F,10,10,,20,20,,31,32,33,34,35,36
G,20,20,,40,40,,37,38,39,40,41,42
H,40,40,,,,,43,44,45,46,47,48
