no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0361,0.0391,0.0464,0.0374,0.0391,0.046,0.042,0.0406,0.0427,0.0412,0.0387,0.0412
B,0.0395,0.0405,0.0471,0.0409,0.0408,0.0475,0.0433,0.0419,0.047,0.0439,0.0433,0.0438
C,0.66,0.6464,0.0468,0.0401,0.0401,0.0474,0.0418,0.0423,0.0434,0.0428,0.0417,0.0433
D,0.0529,0.0536,0.0469,0.0397,0.0394,0.0469,0.0422,0.0425,0.043,0.0422,0.0456,0.0418
E,0.1338,0.1381,0.0481,0.0413,0.04,0.0489,0.0483,0.0421,0.0426,0.0446,0.0451,0.0428
F,0.3339,0.3259,0.0469,0.0396,0.0399,0.0471,0.0416,0.044,0.0436,0.0529,0.0453,0.0583
G,1.3085,1.2891,0.0473,0.0397,0.04,0.0475,0.0457,0.0441,0.0444,0.0453,0.0424,0.0429
H,0.0356,0.0383,0.0471,0.0467,0.0471,0.0472,0.0432,0.0418,0.0421,0.0421,0.0426,0.0421
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0822,0.0863,0.0461,0.0871,0.0843,0.0457,0.0935,0.092,0.1025,0.0937,0.09,0.0791
B,0.102,0.1076,0.048,0.0975,0.0984,0.0476,0.1017,0.0935,0.1152,0.1025,0.1122,0.1063
C,0.718,0.7039,0.0465,0.1306,0.1345,0.0465,0.1015,0.11,0.1059,0.0852,0.0953,0.1243
D,0.1574,0.1573,0.0467,0.2425,0.2504,0.0467,0.0941,0.0918,0.0935,0.09,0.1113,0.0906
E,0.2273,0.2328,0.0477,0.3836,0.389,0.0469,0.1517,0.093,0.1287,0.1019,0.1056,0.0933
F,0.381,0.3832,0.0466,0.5756,0.5814,0.0464,0.0937,0.1087,0.1018,0.1022,0.1206,0.1016
G,1.2676,1.1884,0.0467,1.0314,1.0558,0.0466,0.1098,0.1211,0.1132,0.1052,0.0944,0.0986
H,0.035,0.0382,0.0468,0.0466,0.0469,0.0464,0.1159,0.113,0.0908,0.0961,0.0995,0.0977
,,,,,,,,,,,,
no2no3_s,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,0,0,,,,,,,
B,0.1,0.1,,0.1,0.1,,,,,,,
C,20,20,,20,20,,,,,,,
D,2.5,2.5,,2.5,2.5,,,,,,,
E,5,5,,5,5,,,,,,,
F,10,10,,10,10,,,,,,,
G,40,40,,40,40,,,,,,,
H,,,,,,,,,,,,
